"Player,Nation,Pos,Squad,League,Age,Min,Gls_90,Ast_90,GA_90,Sh_90,SoT_90,SoT_pct,G_per_Sh,Salah_Score,Salah_Euclidean,KDB_Score,KDB_Euclidean,Outlier_Count,Is_Outlier,PC1,PC2,Cluster,Cluster_Label,Salah_Cosine,KDB_Cosine,Salah_Euc_Sim,KDB_Euc_Sim,Market_Value_M"
"Djeidi Gassama,mr MTN,MF,Sheffield Weds,EFL Championship,20.0,2975,0.2118,0.0303,0.242,2.1479,0.6958,32.39,0.0986,-0.0248,5.860717868540207,-0.1276,7.35551168696382,0,False,0.3860734737616887,-0.5284819937672733,0,Active Forward,-0.1385011421367388,-0.292372514218068,0.1457573418935496,0.1196814794191706,"
"Djibril Soumaré,sn SEN,MF,Nacional,Primeira Liga,21.0,1882,0.0478,0.0478,0.0956,1.1477,0.3348,29.17,0.0417,-0.5135,7.21164733776883,-0.4036,8.288330265215372,0,False,-1.6283820974233585,-0.1534281738961274,1,Low Volume Player,-0.9369356666321472,-0.744408467201155,0.1217782448353058,0.1076619770665328,"
"Dylan Mbayo,be BEL,FW,Zwolle,Eredivisie,22.0,2104,0.1711,0.2994,0.4705,1.2833,0.5561,43.33,0.1333,0.5582,3.847598958090239,0.5705,4.934549350435842,0,False,1.319407652874324,1.1531213751412348,2,Creative Playmaker,0.7927363128708866,0.8385224065740685,0.2062876918337238,0.1685047913413271,1.2"
"Edouard Michut,fr FRA,MF,Fortuna Sittard,Eredivisie,21.0,1028,0.0875,0.0,0.0875,1.1381,0.3502,30.77,0.0769,-0.5217,7.218998214513644,-0.5322,8.573837530430923,0,False,-1.4083798562813934,-0.8736761104049905,1,Low Volume Player,-0.9506641123187134,-0.9565586100984758,0.1216693292662036,0.1044513233926782,"
"Eliezer Mayenda,es ESP,FW,Sunderland,EFL Championship,19.0,2155,0.3341,0.2088,0.5429,2.297,1.1276,49.09,0.1455,0.6204,3.190711069242563,0.5428,4.827782676320407,0,False,3.0997702547292736,0.3540895314817084,2,Creative Playmaker,0.8749562716675587,0.7902306831376775,0.2386229886711664,0.1715918481420429,1.5"
"Ellis Simms,eng ENG,FW,Coventry City,EFL Championship,23.0,2286,0.2362,0.0787,0.315,2.4409,1.1024,45.16,0.0968,0.296,5.166894264647369,0.2691,6.491485003685793,0,False,1.7004406998337047,-0.3569327646112551,2,Creative Playmaker,0.3852731853158262,0.3594940493218884,0.1621561773375372,0.1334848831050188,"
"Emilio Kehrer,de GER,FW,Willem II,Eredivisie,22.0,979,0.0919,0.2758,0.3677,1.9305,0.8274,42.86,0.0476,0.3884,4.769268460739076,0.568,5.067200211624807,0,False,0.9912005499298596,1.6972632542467196,2,Creative Playmaker,0.5316959572937509,0.8368169969031864,0.1733322009203042,0.1648206693565166,1.8"
"Enric Llansana,nl NED,MF,Go Ahead Eagles,Eredivisie,23.0,2719,0.1324,0.0993,0.2317,1.3571,0.2648,19.51,0.0976,-0.1716,6.257692447509775,-0.1766,7.576300601091998,0,False,-0.957216495484303,0.2712064031381483,1,Low Volume Player,-0.3778163543041575,-0.3720010184498643,0.1377848410128091,0.1166003906011261,"
"Eom Jisung,kr KOR,MF,Swansea City,EFL Championship,22.0,2287,0.1181,0.0787,0.1968,2.2431,0.5116,22.81,0.0526,-0.2327,6.379087002619711,-0.0975,7.407209354962178,0,False,-0.5455068653630302,0.5142126505257117,0,Active Forward,-0.4781325863695407,-0.2418573764148817,0.1355181202830352,0.1189455332654195,"
"Ernest Poku,nl NED,FW,AZ Alkmaar,Eredivisie,20.0,1536,0.1172,0.1758,0.293,1.9922,0.9961,50.0,0.0588,0.2789,5.2342687818398215,0.4011,5.952024177514703,0,False,1.1567292674035607,0.5256182748587954,2,Creative Playmaker,0.3578486010378452,0.5726084542373088,0.1604037353848073,0.1438429980198217,"
"Espen van Ee,nl NED,MF,Heerenveen,Eredivisie,21.0,2236,0.0403,0.0805,0.1208,1.4088,0.3623,25.71,0.0286,-0.4512,7.0414031062276266,-0.2755,7.957053060352574,0,False,-1.5306055635844626,0.398136050625326,1,Low Volume Player,-0.8349109474776979,-0.5335950526610085,0.1243564073072713,0.1116438624692748,"
"Ethan Ampadu,wls WAL,MF,Leeds United,EFL Championship,23.0,2285,0.0,0.0,0.0,0.4333,0.0788,18.18,0.0,-0.4838,8.645951033177006,-0.4075,9.662033954283244,0,False,-3.2487532722457786,-0.1703654826652415,1,Low Volume Player,-0.8754815059242351,-0.7416361641158589,0.1036704412618854,0.0937907348905291,"
"Ezequiel Bullaude,ar ARG,FW,Fortuna Sittard,Eredivisie,23.0,2058,0.2624,0.0437,0.3061,1.7055,0.6122,35.9,0.1538,0.2582,5.319249875287863,-0.0185,7.215431723717459,0,False,0.7743703479534053,-0.9903815391821108,0,Active Forward,0.3248207708664183,-0.111907458309542,0.158246630491795,0.1217221484676283,"
"Fabrício Garcia,cv CPV,FW,Estoril,Primeira Liga,23.0,1269,0.0,0.0,0.0,1.4184,0.3546,25.0,0.0,-0.5316,8.104378745140497,-0.4026,9.019407622048991,0,False,-2.264397187346004,-0.1208621266469894,1,Low Volume Player,-0.9591858480218068,-0.7374754788986879,0.1098372583119693,0.0998062997057203,"
"Facundo Cáseres,ar ARG,MF,Gil Vicente FC,Primeira Liga,23.0,1404,0.0,0.0,0.0,0.5769,0.0641,11.11,0.0,-0.4647,8.7810431622448,-0.3888,9.775339836267149,0,False,-3.406134893896009,0.0710688260777282,1,Low Volume Player,-0.84269644826733,-0.7098724141785748,0.1022385836983153,0.0928044976024093,"
"Femi Azeez,eng ENG,MF,Millwall,EFL Championship,23.0,1906,0.0944,0.2361,0.3305,2.4554,0.8972,36.54,0.0385,0.3227,5.061775016177293,0.5275,5.377625237267929,0,False,0.9219879107548256,1.7118108934383938,2,Creative Playmaker,0.4279002768613822,0.7745557047249234,0.1649681813216857,0.156798175307708,"
"Filip Krastev,bg BUL,FW,Zwolle,Eredivisie,22.0,2174,0.2484,0.1656,0.414,1.9043,0.7452,39.13,0.1304,0.6467,4.149515410225009,0.5599,5.713551461284874,0,False,1.4791247784347277,0.2376296362521713,2,Creative Playmaker,0.948363945970888,0.8338357062910605,0.1941930298944973,0.1489524591815097,1.3"
"Finn Azaz,ie IRL,MF,Middlesbrough,EFL Championship,23.0,3544,0.3047,0.2793,0.5841,3.1236,1.0158,32.52,0.0976,0.5982,3.26990715900168,0.6236,4.062336893760929,0,False,2.8067388735250884,1.996233248089056,2,Creative Playmaker,0.8408765708923516,0.9076289887719468,0.2341971295305174,0.1975372285539606,2.8"
"Florian Bianchini,fr FRA,FW,Swansea City,EFL Championship,23.0,1103,0.2448,0.0,0.2448,1.4687,0.7344,50.0,0.1667,0.1148,5.845839239134794,-0.0829,7.766852174223707,0,False,0.9961560324745978,-1.9400598569917136,0,Active Forward,0.0938763364966684,-0.2142857360197811,0.1460741283966206,0.1140660273638694,"
"Freddie Potts,eng ENG,MF,Portsmouth,EFL Championship,20.0,3057,0.0294,0.1178,0.1472,0.6183,0.1178,19.05,0.0476,-0.3021,7.244669963067212,-0.2059,8.221815876951572,0,False,-2.1745974771912477,0.6036373525150229,1,Low Volume Player,-0.5842807668616903,-0.4154461104920837,0.1212904827579024,0.1084385129071311,"
"Félix Correia,pt POR,FW,Gil Vicente FC,Primeira Liga,23.0,2892,0.2801,0.0934,0.3734,1.4627,0.529,36.17,0.1915,0.433,4.745126037609057,0.1645,6.837694789146718,0,False,1.0723952223059128,-0.8617557513417327,0,Active Forward,0.6056262862234095,0.1891908255993373,0.1740605851731964,0.1275885355200045,"
"Gabri Martínez,es ESP,MF,Braga,Primeira Liga,21.0,1542,0.2335,0.1167,0.3502,2.1012,1.1673,55.56,0.1111,0.3604,4.8888732867355005,0.3289,6.198696305437223,0,False,2.149044167867193,-0.4902835033485654,2,Creative Playmaker,0.4874700512419427,0.4555240297203629,0.1698117706578044,0.1389140418723725,"
"Gabriel Vieira,br BRA,FW,Santa Clara,Primeira Liga,22.0,2787,0.1938,0.0969,0.2906,2.8095,0.8396,29.89,0.069,0.1882,5.500748044576707,0.2545,6.571994248270849,0,False,0.8532492415462051,0.5166329480986477,2,Creative Playmaker,0.2110396662684101,0.3361551878061712,0.1538284506864185,0.1320656048079224,"
"Geny Catamo,mz MOZ,MF,Sporting CP,Primeira Liga,23.0,1911,0.2355,0.0942,0.3297,2.9199,0.8477,29.03,0.0806,0.2638,5.278688879146972,0.2791,6.476808595701744,0,False,1.1457682105271378,0.46695725418627,2,Creative Playmaker,0.3334908458420283,0.3759602222251343,0.1592689205100191,0.1337469038026302,"
"George Earthy,eng ENG,FW,Bristol City,EFL Championship,19.0,1457,0.1853,0.0618,0.2471,1.4825,0.4324,29.17,0.125,-0.0966,5.842819880054298,-0.3278,7.44969440477677,0,False,-0.1866505581607587,-0.4986176304532926,0,Active Forward,-0.2583777361629111,-0.6252945134707584,0.1461385828545387,0.1183474753163476,"
